BALLS OF CHAOS,CHOCOLATIERS,CRAZY CAT'S EYES,TEAM GALACTIC,GREEN DUCKS,HAZERS,INDIGO STARS,JAWBREAKERS,JUNGLE JUMPERS,KOBALTS,LIMERS,MELLOW YELLOW,MINTY MANIACS,MIDNIGHT WISPS,TEAM MOMO,OCEANICS,O'RANGERS,PINKIES,TEAM PRIMARY,RASPBERRY RACERS,ROJO ROLLERS,SAVAGE SPEEDERS,SHINING SWARM,SNOWBALLS,THUNDERBOLTS
1--,1B*,2--,3B-,1A*,4A*,4--,,3--,,,2--,,2B-,,1--,3--,4--,,2A-,,4B*,,,3A-
1-*,1--,2--,1-*,2-*,1-*,1--,,2-*,,,2--,,2--,,2--,1--,1--,,2-*,,1-*,,,2-*
#12,#15,#3 ,#5 ,#4 ,#1 ,#11,,#16,,,#6 ,,#10,,#8 ,#9 ,#13,,#14,,#7 ,,,#2 
1--,3--,3A*,2--,3B*,2--,4B-,,2B*,,,4A-,,2A-,,1--,3--,4--,,1A*,,1B-,,,4--
1--,4A-,4B*,1A-,1B*,3A*,2B-,,1--,,,2A*,,3--,,4--,3B-,2--,,3--,,2--,,,4--
1--,4--,4--,1B-,1A*,4A-,2--,,4B-,,,3--,,3--,,1--,2A*,3A-,,3B*,,2--,,,2B*
#11,#10,#6 ,#2 ,#8 ,#16,#9 ,,#14,,,#3 ,,#1 ,,#13,#5 ,#15,,#4 ,,#7 ,,,#12
1A-,4A*,3--,2A*,1--,1--,2--,,1B*,,,4--,,3--,,2B-,4B-,4--,,3B*,,2--,,,3A-
1--,1B-,2--,4--,4A-,2B*,3--,,2A-,,,3B-,,3A*,,2--,4B*,4--,,1A*,,3--,,,1--
1B-,4--,4--,2--,3A-,4B*,2--,,3--,,,2A-,,3--,,3B*,2B-,4A*,,1--,,1A*,,,1--
1--,2--,2--,1--,1-*,2-*,2-*,,1-*,,,1--,,2--,,1-*,1--,2-*,,1-*,,2-*,,,2--
#5 ,#13,#9 ,#4 ,#1 ,#3 ,#8 ,,#15,,,#14,,#2 ,,#11,#12,#7 ,,#6 ,,#10,,,#16
2--,1-*,2-*,2--,1-*,1--,1-*,,2-*,,,1-*,,1--,,2--,1--,1--,,2-*,,2--,,,2-*
#10,#9 ,#16,#15,#12,#2 ,#3 ,,#1 ,,,#5 ,,#13,,#14,#11,#8 ,,#4 ,,#7 ,,,
BA2,AB4,A--,D--,BC-,A--,B--,,CD-,,,DC3,,B--,,D--,AD1,C--,,DA-,,C--,,,CB-
#1 ,#11,#15,#2 ,#10,#13,#6 ,,#12,,,#9 ,,#8 ,,#16,#4 ,#14,,#3 ,,#5 ,,,#7 
